dataset,run_idx,checkpoint,metric_wasserstein_distance,metric_jensen_shannon_divergence,metric_ks_statistic,metric_ks_pvalue,metric_fid_score,metric_precision,metric_recall,metric_f1_score,metric_mmd_rbf,metric_acf_similarity,metric_psd_similarity,metric_correlation_structure,metric_stationarity_preservation,metric_bifurcation_consistency,metric_overall_quality,sample_mean,sample_std,sample_range
CBF,0,diffusion_ts_CBF_best.pth,0.06257168266372842,0.11255131650041016,0.0944,8.382200101279754e-20,0.3822914693582622,1.0,0.9785714285714285,0.9891696700908391,0.0,0.9890200043732215,0.8713596995352125,0.9556298662750276,1.0,0.9990279460922877,0.614980025369785,-0.01318674348294735,0.3482745289802551,1.7885892391204834
Fungi,0,diffusion_ts_Fungi_best.pth,0.05698748893196467,0.5566043966036637,0.25625,1.0808039732524397e-92,2.1813402829679767,0.96875,0.96875,0.968749995,0.0,0.9872479337216663,0.9771274814690233,0.6812880292418597,1.0,0.9964107105706239,0.6432284398227379,0.1700744330883026,0.3466796875,2.2467451840639114
EOGHorizonSignal,0,diffusion_ts_EOGHorizonSignal_best.pth,0.04968650976580248,0.6569003348460876,0.0894,8.402156467204395e-18,0.0,0.9733333333333334,0.9733333333333334,0.9733333283333334,0.042186200618743896,0.9985792938557172,0.983262699791049,0.7503211824757516,1.0,0.9990881489989492,0.610432340042066,-0.13749448955059052,0.31836411356925964,1.0619283020496368
SemgHandMovement,0,diffusion_ts_SemgHandMovement_best.pth,0.07089402026349202,0.7611518917015959,0.1048,2.5716406181296373e-24,0.0,0.9733333333333334,0.96,0.9666206846554103,0.0,0.9986916580209858,0.9940870890978921,0.9085501007136995,1.0,0.9987098346574066,0.6155155412644238,-0.10809144377708435,0.2784276604652405,1.0847861766815186
ScreenType,0,diffusion_ts_ScreenType_best.pth,0.2923686690397332,1.1512377264614997,0.186,5.560848885337776e-76,63.864101942168624,0.9911504424778761,0.9557522123893806,0.9731295203435678,0.1848168671131134,0.7697613419417267,0.7898091354341014,0.8918471615324123,1.0,0.9970382130926658,0.6736643017746311,0.27286961674690247,0.6471728682518005,3.19464647769928
StrawBerry,0,diffusion_ts_StrawBerry_best.pth,0.05533251864298921,0.12699628955749848,0.1032,1.365921975432331e-23,0.0,0.9733333333333334,0.9733333333333334,0.9733333283333334,0.0,0.9982213081351543,0.9804688521733711,0.8810785974482591,1.0,0.9999391221696226,0.6004642003421748,-0.09316965937614441,0.39082249999046326,1.2688412964344025
GunPointAgeSpan,0,diffusion_ts_GunPointAgeSpan_best.pth,0.3760208156609609,4.409241154377891,0.508,0.0,1.4582804292805085,1.0,1.0,0.999999995,0.3388761579990387,0.9815411030326997,0.9126382637907687,0.647097258203086,1.0,0.9976487688783944,0.6805757236605054,0.5158503651618958,0.2423436939716339,0.9616011455655098
Yoga,0,diffusion_ts_Yoga_best.pth,0.10802323707637217,0.3097661853770728,0.188,1.2638836008062706e-77,0.7156078747758656,0.98989898989899,0.9656565656565657,0.9776275098183659,0.06773395836353302,0.9978183790151126,0.8742282604943817,0.9795785865714877,1.0,0.9964236868624178,0.6334921099664448,0.04078966751694679,0.4249795377254486,1.3591206669807434
ECG5000,0,diffusion_ts_ECG5000_best.pth,0.10252370685436085,0.1266305121352404,0.1338,2.0581042059389873e-39,0.2649434980207593,0.9533333333333334,0.9613333333333334,0.9573166152414987,0.06157863512635231,0.9987373187088475,0.9694748974748928,0.804692581572687,1.0,0.9965710329228454,0.6126187242525413,-0.04913197085261345,0.3983295261859894,2.8631004095077515
GestureMidAirD1,0,diffusion_ts_GestureMidAirD1_best.pth,0.24705340475989662,1.0182656563440884,0.3402,8.374169093818991e-257,0.67212100779794,0.9807692307692307,0.9807692307692307,0.9807692257692308,0.21215440332889557,0.9084787657157652,0.9572753122947616,0.8149244571079473,1.0,0.9928443860349008,0.6498672670636232,0.34908798336982727,0.3510585129261017,1.9683402180671692
PigCVP,0,diffusion_ts_PigCVP_best.pth,0.601790390371821,2.8236020684814047,0.42375,0.0,6.520109689742017,0.9583333333333334,0.9583333333333334,0.9583333283333335,0.35120153427124023,0.9967204312861814,0.9235716053295268,0.6503629303230531,1.0,0.9992978131579239,0.6956028944099468,-0.3911072313785553,0.8976448774337769,4.377101182937622
PowerCons,0,diffusion_ts_PowerCons_best.pth,0.2705087099895146,0.9879570646628401,0.251,1.0871263985020604e-138,2.8649584771503136,0.9636363636363636,1.0,0.9814814764831962,0.18594478070735931,0.9644593200300204,0.8436855129372729,0.5196931937464606,1.0,0.9913943969168368,0.6581314535860358,0.30823931097984314,0.5870382785797119,2.5963879823684692
MelbournePedestrian,0,diffusion_ts_MelbournePedestrian_best.pth,0.11650579296624908,0.19618361013676494,0.1418,3.130490567268594e-44,0.0,0.9634615384615385,0.9692307692307692,0.9663375380540056,0.09192794561386108,0.9951169911342765,0.9856748854082555,0.7712210993204704,1.0,0.9977314006283979,0.6052961550734411,0.2912216782569885,0.4194848835468292,2.3037808388471603
InsectEPGRegularTrain,0,diffusion_ts_InsectEPGRegularTrain_best.pth,0.09906541249564493,8.60107796136821,0.2375,3.956030581826782e-119,25.83978051378396,1.0,0.9583333333333334,0.9787233992575827,0.05875222757458687,0.9529124361762458,0.8479591663966594,0.123618761385769,1.0,0.9958490224672696,0.66477831538384,0.16156502068042755,0.4483228921890259,0.938601016998291
FordB,0,diffusion_ts_FordB_best.pth,0.08441591550923958,0.05132409263431922,0.1422,1.7671765414641027e-44,0.3421816877965203,0.9745508982035929,0.9745508982035929,0.9745508932035929,0.06706361472606659,0.9870733514996102,0.9402144878321083,0.9360488402354527,1.0,0.9972609877412978,0.615832984103777,-0.08189838379621506,0.29080313444137573,1.9416292309761047
